"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Performance Score","First Contentful Paint Time (ms)","Speed Index Time (ms)","Largest Contentful Paint Time (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Total Size Savings (Bytes)","Total Time Savings (ms)","Total Requests","Total Page Size (Bytes)","HTML Size (Bytes)","HTML Count","Image Size (Bytes)","Image Count","CSS Size (Bytes)","CSS Count","JavaScript Size (Bytes)","JavaScript Count","Font Size (Bytes)","Font Count","Media Size (Bytes)","Media Count","Other Size (Bytes)","Other Count","Third Party Size (Bytes)","Third Party Count","Core Web Vitals Assessment","CrUX Largest Contentful Paint Time (ms)","CrUX Interaction to Next Paint (ms)","CrUX Cumulative Layout Shift","CrUX First Contentful Paint Time (ms)","Minify CSS Savings (ms)","Minify CSS Savings (Bytes)","Minify JavaScript Savings (ms)","Minify JavaScript Savings (Bytes)","Reduce Unused CSS Savings (ms)","Reduce Unused CSS Savings (Bytes)","Reduce Unused JavaScript Savings (ms)","Reduce Unused JavaScript Savings (Bytes)","JavaScript Execution Time (ms)","JavaScript Execution Time Category","Minimize Main-Thread Work (ms)","Minimize Main-Thread Work Category","Network Payload Size (Bytes)","User Timing Marks and Measures","Number of Redirects","Server Responds Quickly","Applies Text Compression","LCP Request Discovery","LCP Breakdown","Render Blocking Requests Savings (ms)","Preconnect Candidates Savings (ms)","Maximum Critical Path Latency (ms)","Use Efficient Cache Lifetimes Savings (Bytes)","Layout Shift Culprits","DOM Size","Improve Image Delivery Savings (Bytes)","Forced Reflow Savings (ms)","Legacy JavaScript Savings (Bytes)","Duplicated JavaScript (Bytes)","Font Display Savings (ms)","3rd Parties","Target Size","Content Width","Font Display Size","Viewport","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.supremeroofing.com/","text/html; charset=UTF-8","200","OK","Indexable","","Dallas-Fort Worth’s Top Commercial Roofing Company","50","485","","0","0","Providing Premier Roofing Solutions Since 1987 | Emergency Roof Repairs | Maintenance | New Roof Replacement | Construction","123","789","","0","Your Trusted Commercial Roofing Company","39","Our Expertise & Heritage","24","Delivering roofing solutions since 1987.","40","Award-Winning Excellence","24","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.supremeroofing.com/","","","","","","371510","93116","93116","35.671","","555","93","5.968","62.217","Normal","1.479","0","0","","416","83","0","100.000","153","42","0","14","13","0","","","","","637006d201f07414255c3bac891ed2a0","0.149","","","","","en-US","1.1","36","7351.001","11116.418","15384.702","19970.316","356.500","0.223","886596","3900","183","8889605","112940","2","115034","47","280824","39","1911967","59","318438","8","6108833","2","41569","26","1840038","91","","","","","","0","13342","0","0","900","207571","3000","665683","1751.614","Poor","3729.072","Poor","8887569","13","Avoids redirects","Server responds quickly (observed 80 ms)","Applies text compression","","2 resources found","37443","","1528","3319602","3 resources found","1109","53338","288","13436","","120","12 resources found","100","","","100","","","","","","https://www.supremeroofing.com/","2026-04-11 23:41:30"
"https://www.supremeroofing.com/services/roof-replacement/","text/html; charset=UTF-8","200","OK","Indexable","","Roof Replacement | Supreme Roofing","34","333","","0","0","","0","0","","0","SERVICES","8","","0","Why Choose Supreme Roofing?","27","Signs That Your Commercial Roof Needs to Be Replaced","52","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.supremeroofing.com/services/roof-replacement/","","","","","","269490","69537","69537","26.638","","785","112","7.009","67.917","Normal","2.518","1","2","","335","83","0","100.000","160","50","0","11","10","0","","","","","fe7267934a37a416cbd48c965b87bff7","0.674","","","","","en-US","1.1","33","14514.594","14514.594","22163.299","27222.613","446.500","0.223","1548323","7640","178","4181477","146492","3","571573","24","390164","43","2772412","70","256639","8","6033","1","38164","29","2805739","84","","","","","","150","13416","0","0","1480","309302","6010","1225605","1840.825","Poor","3417.587","Poor","4181478","51","Avoids redirects","Server responds quickly (observed 56 ms)","Applies text compression","1 issue found","4 resources found","41589","","1051","852480","3 resources found","691","75529","12","13553","","50","15 resources found","100","","","100","","","","","","https://www.supremeroofing.com/services/roof-replacement/","2026-04-11 23:41:31"
"https://www.supremeroofing.com/services/green-solutions/","text/html; charset=UTF-8","200","OK","Indexable","","Green Solutions | Supreme Roofing","33","311","","0","0","","0","0","","0","SERVICES","8","","0","Let's Discuss Your Roofing Needs","32","","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.supremeroofing.com/services/green-solutions/","","","","","","270491","69476","69476","26.615","","623","87","7.161","66.895","Normal","2.157","1","2","","335","83","0","100.000","158","48","0","10","9","0","","","","","25a5c386db9cc3d26d3e4657c3d09db4","0.649","","","","","en-US","1.1","37","12733.629","12733.629","24970.500","25024.805","314.000","0.223","923804","6120","161","4053716","89244","2","1473723","24","285240","40","1940321","62","221159","7","6036","1","37993","25","1832328","68","","","","","","0","13416","0","0","1470","207773","4650","702615","1296.625","Poor","2755.133","Poor","4053717","13","Avoids redirects","Server responds quickly (observed 7 ms)","Applies text compression","","4 resources found","34890","","769","850338","3 resources found","688","68902","85","13438","","50","12 resources found","100","","","100","","","","","","https://www.supremeroofing.com/services/green-solutions/","2026-04-11 23:41:31"
"https://www.supremeroofing.com/services-2024/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","1","1","0","1.200","0","0","0","0","0","0","","","","","","0.267","","https://www.supremeroofing.com/services-new/","HTTP Redirect","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.supremeroofing.com/services-2024/","2026-04-11 23:41:32"
"https://www.supremeroofing.com/projects/airport/","text/html; charset=UTF-8","200","OK","Indexable","","Airports | Supreme Roofing","26","240","","0","0","","0","0","","0","Airports","8","","0","Airport Roofing","15","Airport Helix","13","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.supremeroofing.com/projects/airport/","","","","","","260375","63466","63466","24.313","","60","17","3.529","63.663","Normal","0.938","1","2","","336","83","0","100.000","151","40","0","10","9","0","","","","","bc5c7f6074f689d74eecc1b81a3ffa37","0.684","","","","","en-US","1.1","40","12431.701","12431.701","20240.508","20293.010","244.500","0.223","891311","5230","145","2887919","83226","2","469997","21","271808","35","1852319","56","167073","5","6034","1","37462","25","1831849","67","","","","","","150","13416","0","0","1350","207771","3730","670124","1233.047","Good","2390.275","Poor","2887920","13","Avoids redirects","Server responds quickly (observed 68 ms)","Applies text compression","1 issue found","4 resources found","37785","650","866","788105","3 resources found","650","0","19","13479","","70","12 resources found","100","","","100","","","","","","https://www.supremeroofing.com/projects/airport/","2026-04-11 23:41:32"
"https://www.supremeroofing.com/projects/healthcare/","text/html; charset=UTF-8","200","OK","Indexable","","Healthcare | Supreme Roofing","28","267","","0","0","","0","0","","0","Healthcare","10","","0","Healthcare Roofing","18","OSU Medical Center","18","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.supremeroofing.com/projects/healthcare/","","","","","","258581","63335","63335","24.262","","56","14","4.000","62.279","Normal","0.932","1","2","","337","83","0","100.000","151","40","0","10","9","0","","","","","e15c7de161cb9a85a4678a264166a97a","0.673","","","","","en-US","1.1","37","5010.019","8923.123","12326.471","18860.531","394.500","0.223","891329","4410","144","2650173","83098","2","232381","21","271052","34","1852585","56","167072","5","6040","1","37945","25","1832231","67","","","","","","150","13416","0","0","1050","207773","3210","670140","1491.606","Poor","3022.465","Poor","2650174","13","Avoids redirects","Server responds quickly (observed 6 ms)","Applies text compression","1 issue found","4 resources found","27928","","370","788041","1 resource found","640","0","62","13438","","50","12 resources found","100","","","100","","","","","","https://www.supremeroofing.com/projects/healthcare/","2026-04-11 23:41:32"
"http://www.supremeroofing.com/about-us-new/","text/html; charset=iso-8859-1","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","292","292","292","0.112","","0","","","","","0.000","1","1","","1","1","0","1.200","0","0","0","0","0","0","","","","","","0.090","","https://www.supremeroofing.com/about-us-new/","HTTP Redirect","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.supremeroofing.com/about-us-new/","2026-04-11 23:41:33"
"https://www.supremeroofing.com/services/water-proofing/","text/html; charset=UTF-8","200","OK","Indexable","","Waterproofing | Supreme Roofing","31","297","","0","0","","0","0","","0","SERVICES","8","","0","Benefits of Waterproofing Your Commercial Building","50","Keep Your Roof Prepared","23","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.supremeroofing.com/services/water-proofing/","","","","","","265062","67233","67233","25.756","","631","74","8.527","68.263","Normal","2.221","1","2","","335","83","0","100.000","155","45","0","10","9","0","","","","","c853ad959223d8de1f4ba21737901e1a","0.689","","","","","en-US","1.1","45","3477.009","8120.823","12022.241","20304.979","235.500","0.223","923627","3300","161","3344786","87000","2","767615","24","285240","40","1940029","62","221159","7","6034","1","37709","25","1832029","68","","","","","","0","13416","0","0","900","207773","2400","702438","1307.880","Poor","2605.528","Poor","3344787","13","Avoids redirects","Server responds quickly (observed 6 ms)","Applies text compression","","4 resources found","20121","","726","850308","1 resource found","692","0","44","13438","","50","12 resources found","100","","","100","","","","","","https://www.supremeroofing.com/services/water-proofing/","2026-04-11 23:41:32"
"https://www.supremeroofing.com/locations/denver/","text/html; charset=UTF-8","200","OK","Indexable","","Denver | Supreme Roofing","24","232","","0","0","","0","0","","0","Denver","6","","0","Comprehensive Roofing Solutions in Denver, Colorado","51","Inspections and Regular Preventative Maintenance","48","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.supremeroofing.com/locations/denver/","","","","","","274255","68385","68385","26.197","","599","90","6.656","69.296","Normal","2.083","1","2","","335","83","0","100.000","149","38","0","10","9","0","","","","","df63ae19acfb50ea95af55314d103ab2","0.631","","","","","en-US","1.1","22","5498.013","13017.062","15848.035","23357.188","1098.500","0.223","1083964","5440","168","3538617","89891","3","668440","23","275171","40","2240841","68","221160","7","6039","1","37075","26","2248723","84","","","","","","0","13416","0","0","2120","207763","3320","862785","3475.259","Poor","5607.514","Poor","3538618","13","Avoids redirects","Server responds quickly (observed 58 ms)","Applies text compression","","2 resources found","32979","","861","828207","3 resources found","687","47551","227","13553","","50","14 resources found","100","","","100","","","","","","https://www.supremeroofing.com/locations/denver/","2026-04-11 23:41:33"
"https://www.supremeroofing.com/services/cold-storage/","text/html; charset=UTF-8","200","OK","Indexable","","Cold Storage | Supreme Roofing","30","284","","0","0","","0","0","","0","SERVICES","8","","0","Expert Installation Every Time","30","Keep Your Storage Cold In Summer Heat","37","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.supremeroofing.com/services/cold-storage/","","","","","","264685","67220","67220","25.751","","683","81","8.432","73.792","Fairly Easy","2.292","1","2","","335","83","0","100.000","155","45","0","10","9","0","","","","","1640fa6caf4a9c580a1a1d47d14d4454","0.604","","","","","en-US","1.1","39","17035.770","17035.770","24479.514","27521.193","263.000","0.223","1547518","7430","180","4525185","144388","3","914700","24","390176","43","2771675","70","256640","8","6030","1","41576","31","2804996","84","","","","","","0","13416","0","0","1490","309308","5940","1224794","1801.266","Poor","3602.227","Poor","4525186","51","Avoids redirects","Server responds quickly (observed 9 ms)","Applies text compression","1 issue found","4 resources found","36090","","822","852018","3 resources found","685","0","28","13438","","60","15 resources found","100","","","100","","","","","","https://www.supremeroofing.com/services/cold-storage/","2026-04-11 23:41:33"
